"Depth","Key","Kind","Result Type"
"0","AIATTITUDE","Promote","AIAttitude"
"0","AIAttitude","Type",""
"1","AccessSelf","Function",""
"1","CalcScore","Function","CFixedPoint"
"1","GetColor","Function","CString"
"1","GetDesc","Function","CString"
"1","GetFirstCountry","Function",""
"1","GetFirstCountry","Promote","Country"
"1","GetName","Function","CString"
"1","GetReasonsDesc","Function","CString"
"1","GetSecondCountry","Function",""
"1","GetSecondCountry","Promote","Country"
"1","GetStrategicDesireDesc","Function","CString"
"1","GetTexture","Function",""
"1","GetTooltip","Function","CString"
"1","GetTooltipTag","Function","CString"
"1","Self","Function",""
"0","AISTRATEGY","Promote","AIStrategy"
"0","AIStrategy","Type",""
"1","AccessSelf","Function",""
"1","GetDesc","Function","CString"
"1","GetName","Function","CString"
"1","GetTexture","Function",""
"1","GetTooltip","Function","CString"
"1","GetTooltipTag","Function","CString"
"1","Self","Function",""
"0","ALERT","Promote","Alert"
"0","ALERT_GROUP","Promote","AlertGroup"
"0","ALLY_COUNTRY","Promote","Country"
"0","Abs_CFixedPoint","Function","CFixedPoint"
"0","Abs_float","Function","float"
"0","Abs_int32","Function","int32"
"0","AccessConstructionSpeeds","Function",""
"0","AccessGameRules","Promote","JominiGameRules"
"0","AccessHighlightManager","Promote","HighlightManager"
"0","AccessLogViewer","Promote","LogViewer"
"0","AccessMapEditorLayerBorders","Function",""
"0","AccessMetaPlayer","Promote","Player"
"0","AccessMetaPlayer","Function",""
"0","AccessPlayer","Promote","Country"
"0","AccessPlayer","Function",""
"0","AccessPlayerJournalEntry","Promote","JournalEntry"
"0","Achievement","Type",""
"1","AccessSelf","Function",""
"1","IsUnlocked","Function","bool"
"1","Self","Function",""
"0","AchievementPopup","Type",""
"1","AccessJustUnlockedAchievements","Function",""
"1","AccessSelf","Function",""
"1","Self","Function",""
"1","ShowWindow","Function","void"
"0","AchievementWindow","Type",""
"1","AccessGroups","Function",""
"1","AccessSelf","Function",""
"1","HasGameStarted","Function","bool"
